fortune_2025_rank,company,screening_bucket,presence_type,geography,evidence_status,location_or_note
1,Walmart,has_atlanta_office,corporate_or_operational_office,City of Atlanta,screened_source_needed,Atlanta R&D or operational-office lead
2,Amazon,has_atlanta_office,corporate_or_operational_office,City of Atlanta,screened_source_needed,Atlanta office and data-services lead
3,UnitedHealth,has_atlanta_metro_office,regional_health_plan_office,Metro Atlanta,company_source_checked,UnitedHealthcare of Georgia at 2100 RiverEdge Pkwy
4,Apple,store_or_distribution,retail_store,Metro Atlanta,screened_source_needed,Apple retail footprint
5,CVS Health,store_or_distribution,retail_pharmacy,Metro Atlanta,screened_source_needed,CVS Pharmacy footprint
6,Berkshire Hathaway,no_verified_material_presence,no_verified_material_presence,Metro Atlanta,screened_source_needed,No material local corporate footprint identified
7,Alphabet,has_atlanta_office,corporate_or_technology_office,City of Atlanta,screened_source_needed,Google Atlanta office lead
8,Exxon Mobil,no_verified_material_presence,no_verified_material_presence,Metro Atlanta,screened_source_needed,No material local corporate footprint identified
9,McKesson,has_atlanta_metro_office,regional_office,Metro Atlanta,screened_source_needed,North-metro office lead
10,Cencora,store_or_distribution,distribution,Metro Atlanta,screened_source_needed,Distribution lead
11,JPMorgan Chase,has_atlanta_office,corporate_or_financial_office,City of Atlanta,screened_source_needed,Atlanta financial-office lead
12,Costco,store_or_distribution,retail_warehouse,Metro Atlanta,screened_source_needed,Costco warehouse footprint
13,Cigna,has_atlanta_metro_office,regional_office,Metro Atlanta,screened_source_needed,North-metro office lead
14,Microsoft,has_atlanta_office,corporate_or_technology_office,City of Atlanta,screened_source_needed,Midtown office lead
15,Cardinal Health,store_or_distribution,distribution,Metro Atlanta,screened_source_needed,Distribution lead
16,Chevron,no_verified_material_presence,no_verified_material_presence,Metro Atlanta,screened_source_needed,No material local corporate footprint identified
17,Bank of America,has_atlanta_office,corporate_or_financial_office,City of Atlanta,screened_source_needed,Atlanta financial-office lead
18,General Motors,has_atlanta_metro_office,technology_or_regional_office,Metro Atlanta,screened_source_needed,North-metro office lead
19,Ford Motor,has_atlanta_metro_office,regional_office,Metro Atlanta,screened_source_needed,Metro office lead
20,Elevance Health,has_atlanta_office,regional_health_plan_office,City of Atlanta,screened_source_needed,Atlanta health-plan office lead
21,Citi,has_atlanta_office,corporate_or_financial_office,City of Atlanta,screened_source_needed,Atlanta financial-office lead
22,Meta,has_atlanta_office,technology_office,City of Atlanta,screened_source_needed,Midtown office lead
23,Centene,has_atlanta_metro_office,regional_health_plan_office,Metro Atlanta,screened_source_needed,Georgia health-plan office lead
24,Home Depot,has_atlanta_metro_office,headquarters,Metro Atlanta,screened_source_needed,Cobb County headquarters campus
25,Fannie Mae,has_atlanta_office,regional_office,City of Atlanta,screened_source_needed,Atlanta regional office lead
26,Walgreens,store_or_distribution,retail_pharmacy,Metro Atlanta,screened_source_needed,Walgreens retail footprint
